Marque;Segment;Trage;SEGMENT_MODOP;reporting+70;PVFP;PM actu;collecte;rachatsNBtotactu;DCNBtotactu;prestations;;;;;
MMA CAP;UC;30-40ans;GP;0;-70,8056532;5,74E+04;2410,14905;1456,80678;141,899911;1598,706691;;;;;
MMA CAP;UC;30-40ans;PC;0;426754,125;66337164;2904495,07;1945059,84;189238,658;2134298,498;;;;;
MMA CAP;UC;40-50ans;GP;0;-104,775418;2,77E+05;12649,7703;7999,74824;1641,97331;9641,72155;;;;;
MMA CAP;UC;40-50ans;PC;0;946927,282;149009425;6451441,15;3795919,19;1118350,54;4914269,73;;;;;
MMA CAP;UC;50-60ans;GP;0;376,266459;504532,213;27450,1506;13962,7101;8913,70682;22876,41692;;;;;
MMA CAP;UC;50-60ans;PC;0;2272294,53;3,68E+08;16856991,4;8928901,37;6406336,44;15335237,81;;;;;
MMA CAP;UC;60-70ans;GP;0;80,5707575;3,74E+04;2349,44705;974,746347;1403,94707;2378,693417;;;;;
MMA CAP;UC;60-70ans;PC;0;2327039,43;394024923;21325528,5;9609761,28;12572398,7;22182159,98;;;;;
MMA CAP;UC;70-75ans;GP;1;221,150374;1,45E+05;10725,0238;3504,84565;8297,22221;11802,06786;;;;;
MMA CAP;UC;70-75ans;PC;1;489191,464;100082268;6709752,75;2319948,59;4738154,28;7058102,87;;;;;
MMA CAP;UC;75-80ans;GP;1;447,994078;2,03E+05;15892,5479;5790,09776;11782,4182;17572,51596;;;;;
MMA CAP;UC;75-80ans;PC;1;127858,662;3,56E+07;2942688,33;810444,569;2308723,94;3119168,509;;;;;
MMA CAP;Prevoyance;0-30ans;GP;0;7122,68647;0;112728,898;0;37538,7211;37538,7211;;;;;
MMA CAP;Prevoyance;30-40ans;GP;0;21032,3814;0,00E+00;331215,095;0;110294,642;110294,642;;;;;
MMA CAP;Prevoyance;40-50ans;GP;0;42229,4328;0;642280,29;0;213879,331;213879,331;;;;;
MMA CAP;Prevoyance;50-60ans;GP;0;38372,2025;0;542719,792;0;180725,688;180725,688;;;;;
MMA CAP;Prevoyance;60-70ans;GP;0;22871,5415;0,00E+00;319797,695;0;106492,628;106492,628;;;;;
MMA CAP;Prevoyance;70-75ans;GP;1;0;0;0;0;0;0;;;;;
MMA CAP;Prevoyance;75-80ans;GP;1;0;0;0;0;0;0;;;;;
MMA Courtage;EURO;+80ans;GP;1;10667,5674;4666089,09;669303,47;150298,208;516346,712;666644,92;;;;;
MMA Courtage;EURO;+80ans;PC;1;129813,988;172224959;27816867,7;8437906,86;20997494,3;29435401,16;;;;;
MMA Courtage;EURO;+80ans;PP;1;0;0;0;0;0;0;;;;;
MMA Courtage;EURO;0-30ans;GP;0;0,01603629;9,09143477;0,631633;0,52028334;0,01123153;0,53151487;;;;;
MMA Courtage;EURO;0-30ans;PC;0;1584859,82;998546911;55597098;57630864;304346,515;57935210,52;;;;;
MMA Courtage;EURO;30-40ans;GP;0;0,01579139;9,01044952;0,630731;0,5165588;0,01848935;0,53504815;;;;;
MMA Courtage;EURO;30-40ans;PC;0;260667,886;172921537;13891850;13151811;418994,343;13570805,34;;;;;
MMA Courtage;EURO;40-50ans;GP;0;24,1973968;13147,3444;711,9195;409,945733;154,095731;564,041464;;;;;
MMA Courtage;EURO;40-50ans;PC;0;548173,2;346842621;24205797;21893423,2;2397228,06;24290651,26;;;;;
MMA Courtage;EURO;50-60ans;GP;0;675,894132;402162,219;25065,08;14043,0336;9317,25739;23360,29099;;;;;
MMA Courtage;EURO;50-60ans;PC;0;1175257,36;762653947;50054921;41503869,4;12391250,7;53895120,1;;;;;
MMA Courtage;EURO;50-60ans;PP;0;0;0;0;0;0;0;;;;;
MMA Courtage;EURO;60-70ans;GP;0;9424,62535;4030516,16;273820,6;146585,908;158450,68;305036,588;;;;;
MMA Courtage;EURO;60-70ans;PC;0;1752925,22;1259428536;87367709;61536110,5;37298379,3;98834489,8;;;;;
MMA Courtage;EURO;70-75ans;GP;1;116,780992;132420,066;14653,7164;4340,55536;8834,8513;13175,40666;;;;;
MMA Courtage;EURO;70-75ans;PC;1;336544,646;270899161;22116478,7;12276371,3;12208085,4;24484456,7;;;;;
MMA Courtage;EURO;70-75ans;PP;1;0;0;0;0;0;0;;;;;
MMA Courtage;EURO;75-80ans;GP;1;1440,27057;572530,744;54731,8131;20501,15;35784,0153;56285,1653;;;;;
MMA Courtage;EURO;75-80ans;PC;1;136067,761;116621896;11313404,5;5524223,3;6876783,37;12401006,67;;;;;
MMA Courtage;EURO;75-80ans;PP;1;0;0;0;0;0;0;;;;;
MMA Courtage;UC;+80ans;PC;1;-5120,34416;35397506;5028149,57;1191603,88;3872430;5064033,88;;;;;
MMA Courtage;UC;0-30ans;GP;0;0;0;0;0;0;0;;;;;
MMA Courtage;UC;0-30ans;PC;0;772471,437;342183983;18908737,2;18521811,4;145001,684;18666813,08;;;;;
MMA Courtage;UC;30-40ans;GP;0;0;0;0;0;0;0;;;;;
MMA Courtage;UC;30-40ans;PC;0;593894,2;172092530;11359586,1;9731289,67;380314,416;10111604,09;;;;;
MMA Courtage;UC;40-50ans;PC;0;1385870,3;376202274;24019743,2;19580485,4;2114575,1;21695060,5;;;;;
MMA Courtage;UC;50-60ans;GP;0;0;0;0;0;0;0;;;;;
MMA Courtage;UC;50-60ans;PC;0;2481594,71;670360435;43520553,4;33202147,6;8820344,24;42022491,84;;;;;
MMA Courtage;UC;50-60ans;PP;0;0;0;0;0;0;0;;;;;
MMA Courtage;UC;60-70ans;GP;0;989,263179;272680,213;18750,0002;13476,5274;6473,28273;19949,81013;;;;;
MMA Courtage;UC;60-70ans;PC;0;2681676,64;715384644;49158318,4;30642455,3;19531476,4;50173931,7;;;;;
MMA Courtage;UC;70-75ans;PC;1;642565,044;188559906;14831847,6;6138162,16;8585607,33;14723769,49;;;;;
MMA Courtage;UC;75-80ans;PC;1;375958,539;108221192;9847690,06;3558864,02;6343906,81;9902770,83;;;;;
MMA Courtage;Prevoyance;+80ans;GP;1;0;0;0;0;0;0;;;;;
MMA Courtage;Prevoyance;0-30ans;GP;0;674,501294;0;20849,6788;0;6942,94331;6942,94331;;;;;
MMA Courtage;Prevoyance;30-40ans;GP;0;10885,8599;0;283962,384;0;94559,4727;94559,4727;;;;;
MMA Courtage;Prevoyance;40-50ans;GP;0;15866,1798;0;387412,978;0;129008,526;129008,526;;;;;
MMA Courtage;Prevoyance;50-60ans;GP;0;8731,19192;0;277442,584;0;92388,376;92388,376;;;;;
MMA Courtage;Prevoyance;60-70ans;GP;0;2203,06398;0;49342,6471;0;16431,1023;16431,1023;;;;;
MMA Courtage;Prevoyance;70-75ans;GP;1;0;0;0;0;0;0;;;;;
MMA Courtage;Prevoyance;75-80ans;GP;1;0;0;0;0;0;0;;;;;
MAAF;EURO;+80ans;Ex PC;1;6511,94592;8199848,47;1185217,1;548127,003;725344,902;1273471,905;;;;;
MAAF;EURO;+80ans;GP;1;28671,3292;3,95E+07;4743167,56;1616226,54;3543552,52;5159779,06;;;;;
MAAF;EURO;+80ans;PC;1;296618,515;3,55E+08;38200463;8213007,54;33727530,3;41940537,84;;;;;
MAAF;EURO;+80ans;PP;1;1680,31371;2072831,03;240704,261;89536,7185;174603,398;264140,1165;;;;;
MAAF;EURO;0-30ans;Ex PC;0;3620,52653;3052897,36;322584,1;310907,79;3666,34364;314574,1336;;;;;
MAAF;EURO;0-30ans;GP;0;209234,405;2,61E+08;15646189;13608345,6;213456,951;13821802,55;;;;;
MAAF;EURO;0-30ans;PC;0;232760,146;1,53E+08;6763327;5950810,08;133809,785;6084619,865;;;;;
MAAF;EURO;0-30ans;PP;0;25883,9753;31771584,6;2170537;2070383,27;27977,1128;2098360,383;;;;;
MAAF;EURO;30-40ans;Ex PC;0;7696,91523;5626480,18;642895,7;627690,944;15249,5191;642940,4631;;;;;
MAAF;EURO;30-40ans;GP;0;248806,266;2,21E+08;14357724;11954699,3;806222,013;12760921,31;;;;;
MAAF;EURO;30-40ans;PC;0;238801,562;1,52E+08;7410104;6460236,48;449784,486;6910020,966;;;;;
MAAF;EURO;30-40ans;PP;0;67281,6391;48041889,7;2751368;2135004,35;192823,058;2327827,408;;;;;
MAAF;EURO;40-50ans;Ex PC;0;5936,38927;4761579,73;452465,9;418258,468;29801,349;448059,817;;;;;
MAAF;EURO;40-50ans;GP;0;429467,677;3,43E+08;21697826;17134723,9;2831486,07;19966209,97;;;;;
MAAF;EURO;40-50ans;PC;0;562097,133;3,51E+08;16251824;12652325,9;2642804,13;15295130,03;;;;;
MAAF;EURO;40-50ans;PP;0;176156,735;1,22E+08;7181146;5293461,05;1153005,76;6446466,81;;;;;
MAAF;EURO;50-60ans;Ex PC;0;14270,6711;10193569,5;955777,5;830239,742;131898,236;962137,978;;;;;
MAAF;EURO;50-60ans;GP;0;591077,947;4,84E+08;30360266;21421785,3;8566667,39;29988452,69;;;;;
MAAF;EURO;50-60ans;PC;0;1502073,55;9,98E+08;46157603;30141836,5;17110567,7;47252404,2;;;;;
MAAF;EURO;50-60ans;PP;0;245259,315;1,87E+08;11179665;7705110,14;3464487,05;11169597,19;;;;;
MAAF;EURO;60-70ans;Ex PC;0;7540,60771;7484299,08;702119,8;554140,322;197199,125;751339,447;;;;;
MAAF;EURO;60-70ans;GP;0;347696,677;3,44E+08;23516512;15401650,8;9953048,77;25354699,57;;;;;
MAAF;EURO;60-70ans;NC;0;0;0;0;0;0;0;;;;;
MAAF;EURO;60-70ans;PC;0;1824884,65;1,43E+09;76286879;41981123,5;43533518,3;85514641,8;;;;;
MAAF;EURO;60-70ans;PP;0;128029,157;1,24E+08;8555714;5750760,46;3606363,25;9357123,71;;;;;
MAAF;EURO;70-75ans;Ex PC;1;1594,9904;1682316,04;188838,022;137224,091;66732,3327;203956,4237;;;;;
MAAF;EURO;70-75ans;GP;1;103663,924;119566434;8922467,23;4646255,92;5226187,48;9872443,4;;;;;
MAAF;EURO;70-75ans;PC;1;573210,503;5,32E+08;33256370,4;14673190,3;23427022;38100212,3;;;;;
MAAF;EURO;70-75ans;PP;1;40343,5208;47306965,1;3680614,13;2109599,05;1993134,73;4102733,78;;;;;
MAAF;EURO;75-80ans;Ex PC;1;5711,89799;6499926,07;619344,875;314915,984;361281,778;676197,762;;;;;
MAAF;EURO;75-80ans;GP;1;29601,9851;38515318,5;3500611,2;1585214,36;2267332,74;3852547,1;;;;;
MAAF;EURO;75-80ans;PC;1;199635,137;203022496;15217669,6;5424814,92;11866355,7;17291170,62;;;;;
MAAF;EURO;75-80ans;PP;1;8877,41896;10709163,4;970484,607;477249,967;602455,047;1079705,014;;;;;
MAAF;UC;+80ans;Ex PC;1;451,220875;99979,4376;16932,1563;8345,90431;9389,23434;17735,13865;;;;;
MAAF;UC;+80ans;GP;1;5183,38917;925093,73;116655,17;49906,4598;75026,1167;124932,5765;;;;;
MAAF;UC;+80ans;PC;1;65804,5302;10204567;975817,953;263287,946;822003,077;1085291,023;;;;;
MAAF;UC;+80ans;PP;1;130,464128;23920,8057;3150,33888;1488,53162;1901,47759;3390,00921;;;;;
MAAF;UC;0-30ans;Ex PC;0;8779,75021;1240073;87854,6792;66360,9802;2174,45041;68535,43061;;;;;
MAAF;UC;0-30ans;GP;0;78854,8483;27460541,9;2075813,98;1789521,98;34203,7054;1823725,685;;;;;
MAAF;UC;0-30ans;PC;0;401824,625;4,73E+07;2053247,98;1615539,69;52515,4339;1668055,124;;;;;
MAAF;UC;0-30ans;PP;0;34871,1402;6295348,16;518996,195;494992,963;6031,20753;501024,1705;;;;;
MAAF;UC;30-40ans;Ex PC;0;2764,78045;429106,455;55185,2795;51380,8061;1201,09158;52581,89768;;;;;
MAAF;UC;30-40ans;GP;0;181387,021;37029124,3;2668980,98;2101196,79;130393,196;2231589,986;;;;;
MAAF;UC;30-40ans;PC;0;533023,17;6,20E+07;2989548,97;2416468,26;175297,045;2591765,305;;;;;
MAAF;UC;30-40ans;PP;0;76419,3149;11329542,2;859225,992;716653,689;39892,3213;756546,0103;;;;;
MAAF;UC;40-50ans;Ex PC;0;5466,76073;764991,769;76145,1193;59911,1908;7047,76626;66958,95706;;;;;
MAAF;UC;40-50ans;GP;0;316562,024;53477903,5;3605849,97;2615883,64;431349,086;3047232,726;;;;;
MAAF;UC;40-50ans;PC;0;1465447,22;1,71E+08;7781856,93;5253548,65;1339573,53;6593122,18;;;;;
MAAF;UC;40-50ans;PP;0;214193,705;30128765,8;2136886,98;1649798,4;237256;1887054,4;;;;;
MAAF;UC;50-60ans;Ex PC;0;6997,8985;925627,083;66629,7794;46077,1023;15357,5818;61434,6841;;;;;
MAAF;UC;50-60ans;GP;0;502886,357;77694918,9;4880582,96;3064672,17;1336831,58;4401503,75;;;;;
MAAF;UC;50-60ans;PC;0;4233813,64;503486836;22443422,8;12552404,8;8195812,5;20748217,3;;;;;
MAAF;UC;50-60ans;PP;0;342290,211;48256241,6;3246991,97;2333191,81;765882,705;3099074,515;;;;;
MAAF;UC;60-70ans;Ex PC;0;27725,5844;3663498,86;246909,598;152091,319;99722,0514;251813,3704;;;;;
MAAF;UC;60-70ans;GP;0;318082,329;46956603,4;3273624,97;1955373,79;1368322,53;3323696,32;;;;;
MAAF;UC;60-70ans;PC;0;5981597,15;740658280;37973112,7;17609689,3;22448417;40058106,3;;;;;
MAAF;UC;60-70ans;PP;0;278195,294;40073746,4;3046721,97;2163917,26;1052823,37;3216740,63;;;;;
MAAF;UC;70-75ans;Ex PC;1;795,23145;118376,452;9933,65394;4265,66424;6278,27643;10543,94067;;;;;
MAAF;UC;70-75ans;GP;1;113883,355;16344441;1209267,02;602950,382;702640,01;1305590,392;;;;;
MAAF;UC;70-75ans;PC;1;1678221,43;219605468;13845054,1;5399855,77;9952177,93;15352033,7;;;;;
MAAF;UC;70-75ans;PP;1;62702,0006;9475932,16;842940,609;540984,025;372119,269;913103,294;;;;;
MAAF;UC;75-80ans;Ex PC;1;878,857586;130364,822;9999,99943;2211,59913;9017,20917;11228,8083;;;;;
MAAF;UC;75-80ans;GP;1;18337,5255;2952871,37;295253,795;158037,854;160599,708;318637,562;;;;;
MAAF;UC;75-80ans;PC;1;371779,348;51579813,1;3838188,83;1259488,37;3037252,31;4296740,68;;;;;
MAAF;UC;75-80ans;PP;1;11560,5592;1854634,43;191154,043;108835,285;98701,3066;207536,5916;;;;;
