Marque;reporting+70;Trage;SEGMENT_MODOP;PVFP;CAYVP;NBSTIONS;NBVERSEURS;CAHVP;CAYVPUC;collecte;presta;PM actu;;;;;;;;
MAAF;1;40-50ans;NC;477589,18;0,00;0,00;0,00;0,00;0,00;6622334,03;1812532,90;0,00;;;;;;;;
MAAF;0;50-60ans;NC;460335,88;0,00;0,00;0,00;0,00;0,00;6342580,03;1735964,22;0,00;;;;;;;;
MAAF;1;70-75ans;NC;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
GMF;1;+80ans;GP;173320,87;26724420,10;115359,00;2240,00;26556570,07;124196,00;27642571,20;25217200,20;252688227,00;;;;;;;;
GMF;1;+80ans;PC;669568,44;87853309,30;60430,00;1968,00;87821091,33;1260212,63;88191517,30;87918258,00;823384803,00;;;;;;;;
GMF;1;+80ans;PP;19486,00;1995086,34;4657,00;124,00;1989235,74;72577,00;2026900,48;1759272,30;20454871,70;;;;;;;;
GMF;0;0-30ans;GP;940995,02;28341058,40;56878,00;6647,00;27962562,66;2284196,23;30933905,60;618155,85;544173332,00;;;;;;;;
GMF;0;0-30ans;PC;513473,80;9886726,53;697,00;163,00;9884326,53;776687,80;9923876,79;363917,95;227911460,00;;;;;;;;
GMF;0;0-30ans;PP;40888,00;1053284,62;991,00;165,00;1048634,62;180021,50;1083005,29;13400,83;16781934,70;;;;;;;;
GMF;0;30-40ans;GP;878002,00;23407890,80;35517,00;3389,00;23061200,31;1932747,88;25743609,70;1597483,50;468346657,00;;;;;;;;
GMF;0;30-40ans;PC;1027936,51;16674932,30;1379,00;334,00;16673292,28;2001603,40;16719121,50;1561779,30;395240375,00;;;;;;;;
GMF;0;30-40ans;PP;101221,09;2684777,60;2675,00;240,00;2665555,40;364878,91;2809911,58;146993,50;45558963,20;;;;;;;;
GMF;1;40-50ans;GP;1054521,64;23591300,70;34977,00;3158,00;23147841,43;2296211,13;26678715,30;4387535,00;527471032,00;;;;;;;;
GMF;1;40-50ans;PC;1843820,42;26488441,00;3277,00;658,00;26469022,99;3843720,60;26694682,80;6091647,90;672986075,00;;;;;;;;
GMF;1;40-50ans;PP;252091,78;5664161,25;6757,00;605,00;5535109,15;757468,60;6503452,45;938463,60;114276688,00;;;;;;;;
GMF;0;50-60ans;GP;1647473,82;38144371,30;54502,00;3779,00;37164725,80;3274729,06;49818541,00;17948921,00;928146253,00;;;;;;;;
GMF;0;50-60ans;PC;4933297,25;80445851,80;11685,00;1895,00;80286617,03;10971277,00;81891537,40;41005339,00;1975162452,00;;;;;;;;
GMF;0;50-60ans;PP;689901,04;15567206,10;15548,00;1583,00;15303998,77;1976160,88;17402647,80;6319495,30;331499150,00;;;;;;;;
GMF;0;60-70ans;GP;2155290,40;61464991,10;115470,00;5394,00;59645557,55;5862585,57;83119158,70;47290395,00;1327745210,00;;;;;;;;
GMF;0;60-70ans;PC;9213670,58;191213012,00;49118,00;4792,00;191002493,00;30210538,60;193230794,00;142201203,00;3993811690,00;;;;;;;;
GMF;0;60-70ans;PP;1523861,29;44971919,10;47370,00;4228,00;44534436,81;5762732,55;48088621,20;26762500,00;825784484,00;;;;;;;;
GMF;1;70-75ans;GP;634261,13;25894071,50;70436,00;2467,00;25141608,62;1822776,93;33927739,70;23813823,00;455058139,00;;;;;;;;
GMF;1;70-75ans;PC;2722039,44;80731614,20;36995,00;2181,00;80675180,60;11278710,60;81287163,60;70355846,00;1402986435,00;;;;;;;;
GMF;1;70-75ans;PP;393859,91;16300631,60;21448,00;1503,00;16187600,52;1750743,51;17093500,60;11919579,00;256819032,00;;;;;;;;
GMF;1;75-80ans;GP;249636,08;17203630,10;55304,00;1949,00;16999340,53;859921,72;18694798,70;15312060,60;237497724,00;;;;;;;;
GMF;1;75-80ans;PC;906348,70;40517084,70;24435,00;1161,00;40488384,51;4265246,46;40783763,50;38589847,00;586177928,00;;;;;;;;
GMF;1;75-80ans;PP;41424,89;2627894,78;3734,00;205,00;2617829,42;197480,00;2693313,08;2117514,70;34149306,00;;;;;;;;
GMF;0;0-30ans;NC;332222,25;0,00;0,00;0,00;0,00;0,00;4943961,87;1057098,00;0,00;;;;;;;;
GMF;0;30-40ans;NC;483025,39;0,00;0,00;0,00;0,00;0,00;8452204,04;2063769,00;0,00;;;;;;;;
GMF;1;40-50ans;NC;505744,56;0,00;0,00;0,00;0,00;0,00;8255504,56;1908008,00;0,00;;;;;;;;
GMF;0;50-60ans;NC;352768,49;0,00;0,00;0,00;0,00;0,00;5680055,74;1266661,00;0,00;;;;;;;;
GMF;0;60-70ans;NC;97800,23;0,00;0,00;0,00;0,00;0,00;1250115,83;190391,10;0,00;;;;;;;;
GMF;1;70-75ans;NC;13174,84;0,00;0,00;0,00;0,00;0,00;164606,35;20804,94;0,00;;;;;;;;
GMF;1;75-80ans;NC;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
DAV;1;+80ans;GP;310216,87;44166790,57;185794,00;3649,00;43646723,02;735155,67;47088355,96;39826505,84;391611438,56;;;;;;;;
DAV;1;+80ans;PC;1559759,29;221131920,06;127117,00;4181,00;220925374,72;10354062,32;224757805,21;200596280,08;1854460187,61;;;;;;;;
DAV;1;+80ans;PP;26791,28;3213065,85;5920,00;159,00;3201778,51;105496,20;3281055,11;2528265,64;28183578,61;;;;;;;;
DAV;0;0-30ans;GP;1498971,30;45707326,95;135993,00;12167,00;43851773,60;4721079,48;59851268,03;1483834,44;991981931,33;;;;;;;;
DAV;0;0-30ans;PC;4934787,02;111135587,26;27810,00;3215,00;110396410,88;26690961,93;115376374,88;1339796,50;2205050600,00;;;;;;;;
